time to catastrophe (s),labeled
40.0,False
60.0,False
75.0,False
80.0,False
85.0,False
85.0,False
125.0,False
125.0,False
130.0,False
130.0,False
135.0,False
140.0,False
145.0,False
145.0,False
145.0,False
150.0,False
155.0,False
155.0,False
160.0,False
160.0,False
165.0,False
170.0,False
180.0,False
180.0,False
180.0,False
180.0,False
190.0,False
195.0,False
210.0,False
215.0,False
235.0,False
235.0,False
235.0,False
245.0,False
250.0,False
265.0,False
265.0,False
280.0,False
295.0,False
305.0,False
305.0,False
320.0,False
330.0,False
335.0,False
350.0,False
355.0,False
355.0,False
360.0,False
370.0,False
370.0,False
380.0,False
390.0,False
395.0,False
400.0,False
405.0,False
405.0,False
410.0,False
415.0,False
420.0,False
420.0,False
425.0,False
445.0,False
445.0,False
460.0,False
460.0,False
460.0,False
490.0,False
495.0,False
500.0,False
505.0,False
510.0,False
525.0,False
525.0,False
540.0,False
540.0,False
575.0,False
600.0,False
615.0,False
640.0,False
660.0,False
670.0,False
695.0,False
700.0,False
735.0,False
745.0,False
750.0,False
765.0,False
770.0,False
870.0,False
950.0,False
1110.0,False
1145.0,False
1255.0,False
1410.0,False
1815.0,False
55.0,True
60.0,True
65.0,True
65.0,True
75.0,True
80.0,True
80.0,True
95.0,True
95.0,True
100.0,True
105.0,True
105.0,True
115.0,True
120.0,True
120.0,True
120.0,True
130.0,True
130.0,True
135.0,True
135.0,True
135.0,True
135.0,True
140.0,True
140.0,True
150.0,True
155.0,True
155.0,True
155.0,True
155.0,True
155.0,True
170.0,True
170.0,True
180.0,True
180.0,True
180.0,True
180.0,True
185.0,True
185.0,True
185.0,True
190.0,True
190.0,True
190.0,True
195.0,True
195.0,True
200.0,True
200.0,True
205.0,True
210.0,True
210.0,True
215.0,True
215.0,True
220.0,True
220.0,True
225.0,True
225.0,True
225.0,True
225.0,True
235.0,True
240.0,True
240.0,True
245.0,True
245.0,True
245.0,True
250.0,True
255.0,True
255.0,True
260.0,True
270.0,True
270.0,True
270.0,True
275.0,True
280.0,True
280.0,True
280.0,True
280.0,True
280.0,True
285.0,True
285.0,True
285.0,True
290.0,True
290.0,True
290.0,True
290.0,True
290.0,True
295.0,True
300.0,True
305.0,True
305.0,True
320.0,True
320.0,True
325.0,True
325.0,True
330.0,True
330.0,True
340.0,True
340.0,True
340.0,True
340.0,True
340.0,True
345.0,True
345.0,True
350.0,True
360.0,True
360.0,True
365.0,True
365.0,True
370.0,True
370.0,True
370.0,True
380.0,True
380.0,True
385.0,True
385.0,True
390.0,True
390.0,True
395.0,True
395.0,True
400.0,True
400.0,True
410.0,True
415.0,True
415.0,True
420.0,True
425.0,True
435.0,True
440.0,True
440.0,True
445.0,True
465.0,True
465.0,True
470.0,True
475.0,True
480.0,True
490.0,True
490.0,True
500.0,True
500.0,True
500.0,True
505.0,True
510.0,True
520.0,True
520.0,True
525.0,True
525.0,True
530.0,True
535.0,True
540.0,True
540.0,True
545.0,True
550.0,True
550.0,True
560.0,True
575.0,True
585.0,True
585.0,True
595.0,True
600.0,True
600.0,True
600.0,True
605.0,True
605.0,True
605.0,True
610.0,True
620.0,True
625.0,True
635.0,True
635.0,True
640.0,True
640.0,True
640.0,True
650.0,True
650.0,True
660.0,True
665.0,True
670.0,True
675.0,True
680.0,True
705.0,True
705.0,True
710.0,True
735.0,True
745.0,True
745.0,True
765.0,True
770.0,True
770.0,True
800.0,True
800.0,True
820.0,True
835.0,True
850.0,True
860.0,True
860.0,True
875.0,True
885.0,True
885.0,True
890.0,True
910.0,True
955.0,True
980.0,True
1000.0,True
1010.0,True
1030.0,True
1095.0,True
1105.0,True
1180.0,True
1385.0,True
1415.0,True
1425.0,True
1530.0,True
1730.0,True
